session,max(zerocrossing(zerocrossing)),mean(zerocrossing(zerocrossing)),var(zerocrossing(zerocrossing))
Neutral_461,8045.0,6845.4,231296.373333
Neutral_462,8854.0,7646.01818182,177315.90876
Neutral_463,8384.0,7609.96363636,86935.6350413
Neutral_464,8395.0,7637.87272727,93978.6201653
Neutral_465,8237.0,7429.32727273,112871.274711
Neutral_466,7792.0,7150.52727273,77750.867438
Neutral_467,8837.0,7515.52727273,131466.176529
Neutral_468,8959.0,7674.63636364,168257.467769
Neutral_469,8110.0,7603.70909091,87553.0790083
Neutral_470,8316.0,7574.09090909,135818.664463
Neutral_471,8688.0,7541.07317073,137707.628792
Neutral_472,7867.0,7097.14545455,188281.797025
Neutral_473,8775.0,7262.33333333,235524.394265
Neutral_474,8300.0,7516.76363636,94634.8350413
Neutral_475,8487.0,7523.98181818,144764.272397
Neutral_476,8174.0,7437.56363636,97601.6641322
Neutral_477,8330.0,7565.4,99820.0945455
Neutral_478,8193.0,7601.65454545,93957.0261157
Neutral_479,8238.0,7702.18181818,80019.7123967
Neutral_480,8686.0,7624.18181818,113489.785124
Neutral_481,7898.0,7263.12727273,159279.711074
Neutral_482,8296.0,7334.2,165699.76
Neutral_483,8181.0,7472.56363636,120047.118678
Neutral_484,8115.0,7366.94545455,210991.797025
Neutral_485,8330.0,7541.14545455,114410.124298
Neutral_486,8587.0,7833.6,107219.512727
Neutral_487,8338.0,7606.25454545,187280.553388
Neutral_488,8392.0,7745.12727273,84542.5838017
Neutral_489,8415.0,7669.2,110957.214545
Neutral_490,8633.0,7746.90909091,115688.264463
Neutral_491,8492.0,7706.67272727,118607.747438
Neutral_492,8724.0,7748.27272727,139759.034711
Neutral_493,8207.0,7561.72727273,131336.998347
Neutral_494,8339.0,7523.85454545,99607.978843
Neutral_495,8563.0,7650.45454545,107318.175207
Neutral_496,8222.0,7704.49090909,74326.1044628
Neutral_497,8517.0,7628.625,131257.211648
Neutral_498,8563.0,7830.65454545,114058.953388
Neutral_499,8377.0,7581.65454545,181292.044298
Neutral_500,7843.0,6983.8961039,160305.677517
Neutral_501,8105.0,7079.89090909,320867.915372
Neutral_502,8438.0,7234.55681818,314109.314954
Neutral_503,8637.0,7721.6,171917.730909
Neutral_504,7901.0,7209.05454545,197479.287934
Neutral_505,8267.0,7612.32727273,127540.76562
Neutral_506,8232.0,7489.90909091,138850.228099
Neutral_507,8387.0,7570.14545455,152807.033388
Neutral_508,8271.0,7548.27272727,135749.543802
Neutral_509,8260.0,7665.61666667,98837.7697222
Neutral_510,7991.0,7046.02597403,160838.311014
Neutral_511,8039.0,7145.56363636,194528.573223
Neutral_512,8136.0,7264.38181818,203153.872397
Neutral_513,8225.0,7313.36363636,204280.88595
Neutral_514,7876.0,6979.4,230470.858182
Neutral_515,8112.0,7092.25454545,184073.717025
Neutral_516,8032.0,7322.65454545,228610.298843
Neutral_517,7971.0,7014.72727273,215536.780165
Neutral_518,8173.0,7123.8,341790.814545
Neutral_519,8267.0,7191.52727273,253754.212893
Neutral_520,7883.0,7006.85454545,261574.669752
Neutral_521,7960.0,7018.47115385,252103.287629
Neutral_522,8345.0,7542.63636364,280606.049587
Neutral_523,7887.0,6981.19512195,194199.620464
Sad_524,8902.0,7633.01818182,283852.163306
Sad_525,8346.0,7387.27272727,366473.252893
Sad_526,8407.0,7224.45454545,546586.938843
Sad_527,8621.0,7391.2,311805.396364
Sad_528,8537.0,7136.6,399103.367273
Sad_529,8155.0,7148.21818182,276024.934215
Sad_530,8084.0,7341.29090909,224236.351736
Sad_531,7871.0,6936.61818182,337871.181488
Sad_532,8269.0,7135.61818182,254491.290579
Sad_533,8386.0,7121.81818182,331326.839669
Sad_534,8405.0,7212.92727273,275146.758347
Sad_535,8535.0,7201.45454545,315387.01157
Sad_536,8670.0,7162.78181818,322564.716033
Sad_537,8216.0,7043.45454545,352763.41157
Sad_538,8508.0,7247.32727273,306304.038347
Sad_539,9079.0,7341.76363636,433752.689587
Sad_540,8426.0,7124.2,384184.814545
Sad_541,8233.0,7110.01818182,241255.50876
Sad_542,7856.0,6993.07272727,158776.831074
Sad_543,8457.0,7133.34545455,438374.553388
Sad_544,8085.0,7154.49090909,155512.722645
Sad_545,8388.0,7006.50909091,337741.122645
Sad_546,8059.0,7408.87272727,197956.438347
Sad_547,8415.0,7232.25454545,198577.789752
Sad_548,7862.0,6894.92727273,356871.667438
Sad_549,8210.0,7230.4,280497.876364
Sad_550,8434.0,7391.6,321420.567273
Sad_551,8546.0,7334.7,429277.843333
Sad_552,8686.0,7849.97727273,166627.158574
Sad_553,8336.0,7943.43636364,36845.5550413
Sad_554,8318.0,7926.16363636,49378.6095868
Sad_555,8345.0,8010.03333333,42380.2655556
Sad_556,9365.0,8342.63636364,297440.995041
Sad_557,9163.0,8484.83636364,153331.591405
Sad_558,9030.0,8486.52727273,97886.467438
Sad_559,9119.0,8415.74242424,131757.676079
Sad_560,7648.0,7029.58181818,103848.716033
Sad_561,7742.0,7083.23636364,107157.635041
Sad_562,7661.0,7145.12727273,95071.9656198
Sad_563,7578.0,6816.72727273,197728.307438
Sad_564,7816.0,7119.87272727,229924.547438
